naslov, leto_izida, trajanje, ocena
Pound Puppies and the Legend of Big Paw, 1988, 76, 4.8
Teri Meherbaniyan, 1985, 140, 5.5
The Snow Queen, 1986, 89, 6.4
The Great Land of Small, 1987, 93, 5.2
Radha Kalyanam, 1981, N/A, 6.1
Hyper Sapien: People from Another Star, 1986, 92, 4.8
Busters verden, 1984, 91, 7.1
Dull Ice Flower, 1989, 99, 8.2
Mayuri, 1984, 142, 7.0
Like Rabbits, 1982, 79, 6.4
Katy, la oruga, 1984, 86, 6.9
Kamilla og tyven, 1988, 106, 6.7
A Summer in a Sea Shell, 1985, 95, 7.2
Zui jia pai dang Da xian shen tong, 1983, 100, 6.6
Gandhinagar 2nd Street, 1986, 137, 7.7
Amrit, 1986, 137, 7.1
George's Island, 1989, 89, 5.5
