naslov, leto_izida, trajanje, ocena
Tetsuo II: Body Hammer, 1992, 83, 6.4
Shadow Builder, 1998, 101, 4.8
Toughguy, 1994, 95, 3.5
Scanners III: The Takeover, 1991, 101, 4.5
Steel and Lace, 1990, 94, 5.3
A Chinese Ghost Story II, 1990, 104, 6.8
Xtro Watch the Skies, 1995, 97, 3.6
Whispering Corridors, 1998, 105, 5.9
Chinese Torture Chamber Story 2, 1998, 93, 5.1
The Fear, 1995, 102, 3.9
The Ugly, 1997, 91, 6.0
Empire of the Dark, 1991, 93, 5.0
Frostbiter: Wrath of the Wendigo, 1995, 84, 4.9
Whispering Corridors Memento Mori, 1999, 98, 6.3
Night Terrors, 1993, 98, 3.6
Evil Dead Trap 2, 1992, 97, 5.4
The Runestone, 1991, 105, 4.8
Prom Night IV: Deliver Us from Evil, 1991, 92, 4.1
The Witching, 1993, 64, 3.2
Organ, 1996, 110, 5.4
Turtle Vision, 1991, 1, 6.3
Living Doll, 1990, 92, 5.6
The Return of the Texas Chainsaw Massacre, 1994, 87, 3.4
Hellraiser III: Hell on Earth, 1992, 97, 5.5
An American Werewolf in Paris, 1997, 98, 5.1
Angel Eyes, 1993, 84, 4.5
Hellraiser: Bloodline, 1996, 85, 5.1
Spirits, 1990, 88, 3.8
Bad Moon, 1996, 80, 5.8
Dark Waters, 1993, 94, 5.9
Cherry Falls, 1999, 92, 5.3
Perdita Durango, 1997, 129, 6.3
Evil Toons, 1992, 90, 4.2
Bordello of Blood, 1996, 87, 5.4
Raising Cain, 1992, 92, 6.1
